角色编号,口上编号,角色,口上,有效输出行,创作者,创作者2,创作者3,统计日期,备注
77,0,静叶,初期,11305,第И个独立游戏,,,2025-9-7,不含字符画
78,0,穣子,初期,520,にわか,,,2025-9-7,
79,0,雏,初期,5807,くろほし,佚名,,2025-9-7,
80,0,阿求,初期,4109,南宫溯,,,2025-9-7,
81,0,莲子,初期,2883,黒い人,,,2025-9-7,
82,0,梅莉,初期,1627,黒い人,,,2025-9-7,
83,0,琪斯美,初期,1638,holy,,,2025-9-7,
84,0,山女,初期,207,またたび,,,2025-9-7,
85,0,一轮,初期,1105,佚名,,,2025-9-7,
86,0,水蜜,初期,791,笹舟,,,2025-9-7,
87,0,星,初期,4429,佚名,239スレ目573,,2025-9-7,
88,0,响子,初期,210,佚名,,,2025-9-7,
89,0,芳香,初期,192,■■あき,,,2025-9-7,
90,0,青娥,初期,2274,黒い人,,,2025-9-7,
91,0,屠自古,初期,326,■■あき,,,2025-9-7,
92,0,布都,初期,727,dainani,佚名,,2025-9-7,
93,0,若鹭姬,初期,2378,佚名,,,2025-9-7,
93,1,若鹭姬,南风天,1818,aw233,,,2025-9-7,
94,0,弁弁,初期,3414,黒い人,,,2025-9-7,
95,0,八桥,初期,3214,黒い人,,,2025-9-7,
96,0,雷鼓,初期,4274,黒い人,,,2025-9-7,
97,0,正邪,初期,7241,黒い人,,,2025-9-7,
97,1,正邪,OwO,1646,OwO,,,2025-9-7,
98,0,依姬,初期（国人）,21525,HAKU,,,2025-9-7,
98,1,依姬,日版,5277,TWドレミー口上作者,,,2025-9-7,
99,0,丰姬,初期,5855,TWドレミー口上作者,,,2025-9-7,
99,1,丰姬,国人,17442,HAKU,,,2025-9-7,
100,0,铃仙二号,初期,6356,268スレ目257,,,2025-9-7,
101,0,朱鹭子,初期,7240,黒古,,,2025-9-7,
103,0,梦子,初期,2681,南風ロウ　もしくはTW噴乳の人,,,2025-9-7,
104,0,雪,初期,3004,TW?舞?①,,,2025-9-7,
105,0,舞（旧作）,初期,7385,TW?舞?①,,,2025-9-7,
106,0,堇子,初期,1385,ワカトコ,,,2025-9-7,
107,0,清兰,初期,6503,291スレ目749,,,2025-9-7,
108,0,铃瑚,初期,12197,291スレ目749,,,2025-9-7,
109,0,哆来咪,初期,17505,268スレ目257,,,2025-9-7,
110,0,探女,初期,4050,××,,,2025-9-7,
110,1,探女,寒鹭探心,15655,悟故十方空,,,2025-9-7,
111,0,克劳恩皮丝,初期,4050,holy,,,2025-9-7,
112,0,纯狐,初期,553,佚名,,,2025-9-7,
112,1,纯狐,日版,1708,佚名,,,2025-9-7,
113,0,赫卡提亚,初期,2088,AvavaAVA,,,2025-9-7,
113,1,赫卡提亚,総合スレ７４９,7148,291スレ目749,,,2025-9-7,
117,0,幻月,初期,1186,ぺぺろんチーノ,,,2025-9-7,
118,0,拉尔瓦,初期,198,佚名,,,2025-9-7,
118,1,拉尔瓦,永恒之蝶,5309,Moe茗,,,2025-9-7,
119,0,合欢乃,初期,169,佚名,,,2025-9-7,
120,0,阿吽,初期,196,佚名,,,2025-9-7,
120,1,阿吽,海外版,9815,Yuu Takanashi,,,2025-9-7,
121,0,成美,初期,144,佚名,,,2025-9-7,
122,0,舞,初期,1422,■■あき,raine,,2025-9-7,
123,0,里乃,初期,1551,■■あき,raine,,2025-9-7,
124,0,隐岐奈,初期,4485,■■あき,raine,,2025-9-7,
125,0,女苑,初期,982,ワカトコ,,,2025-9-7,
126,0,紫苑,初期,881,ワカトコ,,,2025-9-7,
127,0,璎花,初期,5006,サイネリア,,,2025-9-7,
128,0,润美,初期,1370,佚名,,,2025-9-7,
129,0,久侘歌,初期,2613,黒い人,,,2025-9-7,
130,0,八千慧,初期,3269,黒い人,一般路过吉弔厨,,2025-9-7,
131,0,磨弓,初期,6770,291スレ目749,,,2025-9-7,
132,0,袿姬,初期,1310,红茶,,,2025-9-7,
133,0,早鬼,初期,1679,黒い人,,,2025-9-7,
134,0,美宵,初期,2417,黒い人,,,2025-9-7,
135,0,三花,三色之花,1739,無名,,,2025-9-7,
139,0,典,初期,30957,すし,,,2025-9-7,
139,4,典,机翻更新,31855,すし,,,2025-9-7,
140,0,龙,夜空的碎片版,12185,夜空的碎片,,,2025-9-7,
140,1,龙,日版,1661,黒い人,,,2025-9-7,
141,0,千亦,初期,2230,sasakure.UK,,,2025-9-7,
142,0,百百世,初期,3091,Vinumsabbathi,,,2025-9-7,
143,0,尤魔,初期,6235,すし,,,2025-9-7,
144,0,影华扇,初期,230,309スレ目667,,,2025-9-7,
151,0,幽幻魔眼,初期,1894,Vinumsabbathi,,,2025-9-7,
153,0,孙美天,你的小小大圣,10373,战火中的乌托邦,,,2025-9-7,
154,0,慧之子,初期,453,黒い人,,,2025-9-7,
159,0,先代,初期,2889,佚名,,,2025-9-7,
160,0,麟,初期,1474,Sasha Krylov,,,2025-9-7,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
